╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
к°кv╢m,дgжa,┴c┐│мq511~540жa╕╣,2680.86,,д@пы╣A╖~░╧,╣Aкке╬жa,1060313,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3500000,1306,,0.0,0,,RPWOMLLLLHMFFAT07CA
╝щж{┬э,й╨жa(дgжa+л╪кл),л╠кF┐д╝щж{┬эе┴жw╕Ї31~60╕╣,84.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060215,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0830511,182.15,4,1,3,ж│,╡L,2500000,13725,,0.0,0,,RPXNMLSLLHMFFCT97CA
д║оH╢m,дgжa,ддкLмq541~570жa╕╣,48.01,░╙,,,1060216,дgжa5л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,296267,6171,,0.0,0,▒Mо╫┼¤░т,RPPNMLQJMHMFFCT86CA
╝щж{┬э,дgжa,╝Bнэ╔▄мq1201~1230жa╕╣,6164.64,,д@пы╣A╖~░╧,╣Aкке╬жa,1060303,дgжa4л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,13982800,2268,,0.0,0,е]зtжaдWклд╬дЇ╣q│]│╞.,RPSNMLQJMHMFFCT17CA
д║оH╢m,дgжa,√ї└Y├Ёмq421~450жa╕╣,3039.66,,д@пы╣A╖~░╧,╣Aкке╬жa,1060214,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3600000,1184,,0.0,0,,RPSOMLRJMHMFFCT37CA
д║оH╢m,дgжa,дj┐│мq721~750жa╕╣,17738.4,,д@пы╣A╖~░╧,╣Aкке╬жa,1060224,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,21000000,1184,,0.0,0,,RPPNMLSJMHMFFCT07CA
д║оH╢m,й╨жa(дgжa+л╪кл),л╠кF┐дд║оH╢mл╪┐│╕Ї91~120╕╣,85.73,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060102,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэ░╙е╬,е[▒j┐j│y,0710208,95.6,2,2,1,ж│,╡L,1000000,10460,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPVNMLKKMHMFFCT96CA
д║оH╢m,й╨жa(дgжa+л╪кл),л╠кF┐дд║оH╢m╣╪дё╕Ї211~240╕╣,17.97,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060301,дgжa1л╪кл1иожь0,дC╝h,дC╝h,ифеL,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,1051104,60.8,0,0,0,╡L,╡L,2780000,45724,,0.0,0,,RPXOMLLKMHMFFCT37CA
д║оH╢m,й╨жa(дgжa+л╪кл),л╠кF┐дд║оH╢m╣╪дё╕Ї211~240╕╣,17.54,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060301,дgжa1л╪кл1иожь0,е|╝h,дC╝h,ифеL,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,1051104,59.52,0,0,0,╡L,╡L,2780000,46707,,0.0,0,,RPPPMLLKMHMFFCT66CA
д║оH╢m,й╨жa(дgжa+л╪кл),л╠кF┐дд║оH╢m╣╪дё╕Ї211~240╕╣,18.19,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060301,дgжa1л╪кл1иожь0,дT╝h,дC╝h,ифеL,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,1051104,61.57,0,0,0,╡L,╡L,2740000,44502,,0.0,0,,RPRPMLLKMHMFFCT86CA
д║оH╢m,й╨жa(дgжa+л╪кл),л╠кF┐дд║оH╢m╣╪дё╕Ї211~240╕╣,17.54,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060301,дgжa1л╪кл1иожь0,дG╝h,дC╝h,ифеL,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,1051104,59.52,0,0,0,╡L,╡L,2760000,46371,,0.0,0,,RPSPMLLKMHMFFCT96CA
д║оH╢m,й╨жa(дgжa+л╪кл),л╠кF┐дд║оH╢m╣╪дё╕Ї211~240╕╣,27.28,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060301,дgжa1л╪кл1иожь0,е|╝h,дC╝h,ифеL,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,1051104,92.45,0,0,0,╡L,╡L,4110000,44456,,0.0,0,,RPTPMLLKMHMFFCT07CA
╝щж{┬э,дgжa,┐│м№мq2191~2220жa╕╣,90.0,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,103000,1144,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPTNMLMLLHMFFCT96CA
д║оH╢m,дgжa,ддкLмq541~570жa╕╣,496.09,жэ,,,1060214,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2480450,5000,,0.0,0,▒Mо╫┼¤░т,RPRNMLLLLHMFFCT66CA
╖s░ё╢m,й╨жa(дgжa+л╪кл),л╠кF┐д╖s░ё╢m╕Uжw╕Ї31~60╕╣,111.96,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060218,дgжa1л╪кл1иожь0,е■,д@╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0840804,59.35,1,1,1,ж│,╡L,350000,5897,,0.0,0,,RPQPMLRKLHMFFCT27CA
╝щж{┬э,й╨жa(дgжa+л╪кл),л╠кF┐д╝щж{┬эдн║╓╕Ї75л╤1~30╕╣,85.5,жэ,,,1060218,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0931115,170.16,3,3,3,ж│,╡L,5200000,30559,,0.0,0,,RPSOMLKLLHMFFCT76CA
д║оH╢m,дgжa,╖sоHмq301~330жa╕╣,2040.0,╣A,,,1060307,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,7500000,3676,,0.0,0,,RPPNMLLLLHMFFCT09CA
fa72оH╢m,дgжa,╖s╝wмq781~810жa╕╣,1154.06,,д@пы╣A╖~░╧,╣Aкке╬жa,1060306,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2450000,2123,,0.0,0,,RPTNMLLLLHMFFBT76CA
fa72оH╢m,дgжa,╖s░кмq31~60жa╕╣,4116.72,,д@пы╣A╖~░╧,╣Aкке╬жa,1060222,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3850000,935,,0.0,0,,RPUNMLLLLHMFFBT86CA
░к╛Ё╢m,й╨жa(дgжa+л╪кл),л╠кF┐д░к╛Ё╢m│╙зQ╕Ї1~30╕╣,93.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060213,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0790622,110.21,2,1,2,ж│,╡L,1980000,17966,,0.0,0,,RPPNMLOLLHMFFBT66CA
д║оH╢m,й╨жa(дgжa+л╪кл),л╠кF┐дд║оH╢m╣╪дё╕Ї211~240╕╣,18.19,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060301,дgжa1л╪кл1иожь0,е|╝h,дC╝h,ифеL,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,1051104,61.57,0,0,0,╡L,╡L,2740000,44502,,0.0,0,,RPUPMLLKMHMFFCT17CA
д║оH╢m,й╨жa(дgжa+л╪кл),л╠кF┐дд║оH╢m╣╪дё╕Ї211~240╕╣,18.62,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060301,дgжa1л╪кл1иожь0,дC╝h,дC╝h,ифеL,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,1051104,63.1,0,0,0,╡L,╡L,2760000,43740,,0.0,0,,RPVPMLLKMHMFFCT27CA
д║оH╢m,й╨жa(дgжa+л╪кл),л╠кF┐дд║оH╢m╣╪дё╕Ї211~240╕╣,17.97,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060301,дgжa1л╪кл1иожь0,дG╝h,дC╝h,ифеL,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,1051104,60.8,0,0,0,╡L,╡L,2740000,45066,,0.0,0,,RPWPMLLKMHMFFCT37CA
д║оH╢m,й╨жa(дgжa+л╪кл),л╠кF┐дд║оH╢m╣╪дё╕Ї211~240╕╣,18.62,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060301,дgжa1л╪кл1иожь0,дT╝h,дC╝h,ифеL,игифеL╡n░Oи╞╢╡,игифеL╡n░Oи╞╢╡,1051104,63.1,0,0,0,╡L,╡L,2740000,43423,,0.0,0,,RPXPMLLKMHMFFCT47CA
╕U┼r╢m,дgжa,╖s╣Aмq271~300жa╕╣,3201.69,,д@пы╣A╖~░╧,╣Aкке╬жa,1060302,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2150000,672,,0.0,0,,RPQNMLTLLHMFFCT37CA
╕U┼r╢m,й╨жa(дgжa+л╪кл),л╠кF┐д╕U┼r╢m┤I┐│╕Ї31~60╕╣,95.52,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060302,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0850111,111.82,4,2,1,ж│,╡L,1750000,15650,,0.0,0,,RPRNMLTLLHMFFCT47CA
╝щж{┬э,й╨жa(дgжa+л╪кл)+иожь,л╠кF┐д╝щж{┬э╡╪жw╡є1~30╕╣,19.02,жэ,,,1060220,дgжa1л╪кл1иожь1,д╗╝h,дQд@╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0830625,134.5,3,2,1,ж│,ж│,2370000,17621,йY╣Dенн▒,0.0,0,,RPTNMLTLLHMFFCT67CA
╝щж{┬э,й╨жa(дgжa+л╪кл),л╠кF┐д╝щж{┬э╖R░ъ╕Ї91~120╕╣,35.78,жэ,,,1060213,дgжa1л╪кл1иожь0,е|╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0821228,101.46000000000001,3,1,2,ж│,╡L,1880000,18529,,0.0,0,,RPQNMLKMLHMFFCT56CA
┼яме╢m,дgжa,╣A│їмq301~330жa╕╣,1129.74,,д@пы╣A╖~░╧,╣Aкке╬жa,1060313,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1780000,1576,,0.0,0,,RPXOMLLLLHMFFAT17CA
╕Uдж╢m,дgжa,▒[│╗мq2641~2670жa╕╣,996.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060119,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,8930000,8966,,0.0,0,,RPOPMLLLLHMFFAT98CA
л╠кF╔],й╨жa(дgжa+л╪кл)+иожь,л╠кF┐дл╠кFел╛ў│їе_╕Ї631~660╕╣,18.19,жэ,,,1060217,дgжa1л╪кл1иожь1,дQ╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0881204,152.19,3,2,2,ж│,ж│,3100000,20369,йY╣Dенн▒,24.0,0,,RPVNMLLLLHMFFAT86CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFел┤_┐│лn╕Їд@мq241~270╕╣,27.16,,д@пы╣A╖~░╧,пSйwе╪к║и╞╖~е╬жa,1060303,дgжa2л╪кл1иожь0,е|╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),░ъе┴жэжv,┐√╡м▓V╛одg│y,0730316,95.17999999999999,3,2,2,ж│,╡L,1930000,20277,,0.0,0,,RPWNMLLLLHMFFAT96CA
╕Uдж╢m,дgжa,│╗╖sмq421~450жa╕╣,2055.57,,пSйw╣A╖~░╧,╣Aкке╬жa,1060215,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,7400000,3600,,0.0,0,,RPPOMLLLLHMFFAT98CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFелйMе═╕ЇдGмq262л╤1~30╕╣,26.55,жэ,,,1060223,дgжa1л╪кл1иожь0,дн╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0720315,73.04,3,2,1,ж│,╡L,1800000,24644,,0.0,0,,RPSOMLLLLHMFFAT66CA
л╠кF╔],й╨жa(дgжa+л╪кл)+иожь,л╠кF┐дл╠кFел╝s┐│181~210╕╣,37.56,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060306,дgжa2л╪кл1иожь1,дT╝h,дн╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0821125,121.12,3,2,2,ж│,ж│,3500000,28897,д@╝╙енн▒,0.0,0,,RPTOMLLLLHMFFAT76CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFел│╒╖R╕Ї331~360╕╣,26.24,жэ,,,1060303,дgжa1л╪кл1иожь0,дC╝h,дQд@╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),░ъе┴жэжv,┐√╡м▓V╛одg│y,0890331,169.62,3,2,2,ж│,ж│,3300000,19455,,0.0,0,,RPPOMLKLLHMFFAT88CA
╕Uдж╢m,й╨жa(дgжa+л╪кл),л╠кF┐д╕Uдж╢mк└дW╕Ї181~210╕╣,1255.91,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060221,дgжa2л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0970117,361.3,7,1,5,ж│,╡L,9361000,25909,,0.0,0,,RPQOMLKLLHMFFAT98CA
л╠кF╔],дgжa,дЇ╖╜мqдGдpмq151~180жa╕╣,309.0,жэ,,,1060301,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,8500000,27508,,0.0,0,,RPWOMLMLLHMFFAT17CA
дEжp╢m,й╨жa(дgжa+л╪кл),л╠кF┐ддEжp╢m╖s╔▄╕Ї1~30╕╣,138.56,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060204,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0701024,127.68,4,2,1,ж│,╡L,1500000,11748,,0.0,0,,RPTPMLMLLHMFFAT96CA
к°кv╢m,й╨жa(дgжa+л╪кл),л╠кF┐дк°кv╢m╖sе═╡є91~120╕╣,105.84,жэ,,,1060307,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1051219,220.89,5,2,3,ж│,╡L,8600000,38933,,0.0,0,,RPQQMLMLLHMFFAT76CA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFеле┴е═╕Ї7л╤61~90╕╣,61.0,жэ,,,1060311,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0660620,71.1,6,2,3,ж│,╡L,4500000,63291,,0.0,0,╖х▓лклеєдзецйЎбC,RPXOMLRLLHMFFAT77CA
┼яме╢m,дgжa,┼яенмq541~570жa╕╣,802.99,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060217,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,9600000,11955,,0.0,0,,RPUOMLMKMHMFFAT96CA
л╠кF╔],дgжa,дЇ╖╜мqдGдpмq1261~1290жa╕╣,92.0,жэ,,,1060217,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4200000,45652,,0.0,0,,RPVOMLMKMHMFFAT07CA
╕Uдж╢m,дgжa,╖sжwмq601~630жa╕╣,4786.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060307,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,13322987,2784,,0.0,0,,RPUNMLLKMHMFFAT76CA
╕Uдж╢m,дgжa,╖sжwмq571~600жa╕╣,12399.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060307,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,34515613,2784,,0.0,0,,RPVNMLLKMHMFFAT86CA
л╠кF╔],дgжa,╕Uж~мq961~990жa╕╣,569.0,жэ,,,1060206,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,11190000,19666,,0.0,0,,RPUOMLRJMHMFFAT37CA
л╠кF╔],дgжa,╕Uж~мq871~900жa╕╣,94.0,жэ,,,1060209,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2845380,30270,,0.0,0,жVмFй▓╛ў├Ўй╙┴╩дзо╫еєбC,RPQOMLTLLHMFFAT27CA
░к╛Ё╢m,дgжa,дj╕Ї├Ўмq┬┬дj╕Ї├Ўдpмq271~300жa╕╣,3020.5,,д@пы╣A╖~░╧,╣Aкке╬жa,1060310,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4200000,1390,,0.0,0,,RPQNMLKLLHMFFBT09DA
░к╛Ё╢m,дgжa,кFо╢╖sмq541~570жa╕╣,285.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060306,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,500000,1754,,0.0,0,,RPRNMLLLLHMFFBT66DA
к°кv╢m,й╨жa(дgжa+л╪кл),л╠кF┐дк°кv╢mк°┐│╕Ї211~240╕╣,87.65,жэ,,,1060310,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0701105,109.91,3,1,3,ж│,╡L,5100000,46402,,0.0,0,,RPUNMLLLLHMFFAT86DA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFелж█е╤╕Ї61~90╕╣,3.37,жэ,,,1060314,дgжa1л╪кл1иожь0,дT╝h,дQдT╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0831104,36.69,1,1,1,ж│,ж│,850000,23167,,0.0,0,,RPQPMLLLLHMFFAT66DA
кD╝d╢m,дgжa,дддsмq601~630жa╕╣,858.75,жэ,,,1060302,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,6753760,7865,,0.0,0,,RPQNMLKLLHMFFFT76CA
╖рдl╢m,дgжa,д║╖рмq1~30жa╕╣,70975.0,,дsйYжaлOи|░╧,кL╖~е╬жa,1060307,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4258500,60,,0.0,0,н╔жW╡n░OдзкЁ┴┘,RPQNMLLMLHMFFFT96CA
лэмK┬э,дgжa,лс╛└┤Ємq601~630жa╕╣,1250.1,,░ъоaд╜╢щ░╧,,1060303,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2315000,1852,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPRNMLOLLHMFFET17CA
лэмK┬э,дgжa,дЇмuмq391~420жa╕╣,116.0,,░ъоaд╜╢щ░╧,,1060310,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1140425,9831,,0.0,0,╢R╜ц┴`╗∙дге]зtй╙╢RдHнt╛сй╥ж│дзм█├Ў╡|╢O,RPPNMLMLLHMFFET76CA
╖s╢щ╢m,дgжa,дд┐│мq931~960жa╕╣,5.6,жэ,,,1060308,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,81312,14520,,0.0,0,,RPRNMLRKMHMFFDT37CA
лnж{╢m,дgжa,╣╪д╕мq691~720жa╕╣,208.05,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060306,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,818220,3933,,0.0,0,,RPPNMLNLLHMFFDT76CA
п[▓y╢m,дgжa,кс═zмq991~1020жa╕╣,465.12,ифеL,,,1060118,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4502352,9680,,0.0,0,,RPROMLQJMHMFFDT27CA
п[▓y╢m,дgжa,кс═zмq991~1020жa╕╣,73.68,ифеL,,,1060118,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,144402,1960,,0.0,0,,RPSOMLQJMHMFFDT37CA
╖s░ё╢m,й╨жa(дgжa+л╪кл),л╠кF┐д╖s░ё╢mй╛з╡╕Ї31~60╕╣,112.07,жэ,,,1060306,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0830408,150.88,4,2,4,ж│,╡L,2500000,16569,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPROMLKLLHMFFCT76DA
д║оH╢m,й╨жa(дgжa+л╪кл),л╠кF┐дд║оH╢mе_╣ч╕Ї90л╤1~30╕╣,82.48,жэ,,,1060227,дgжa2л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0801028,102.13,2,1,1,ж│,╡L,2800000,27416,,0.0,0,,RPQNMLMLLHMFFCT76DA
fa72оH╢m,дgжa,╖s╝wмq541~570жa╕╣,207.76,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060221,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1350440,6500,,0.0,0,,RPTNMLNLLHMFFBT07DA
лnж{╢m,й╨жa(дgжa+л╪кл),л╠кF┐длnж{╢m╖╦лnз°дHйM╕Ї121~150╕╣,90.67,░╙,,,1060306,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэжv,┐√╡м▓V╛одg│y,0560110,135.42,5,1,2,ж│,╡L,1100000,8123,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPPNMLMLLHMFFDT76DA
л╠кF╔],й╨жa(дgжa+л╪кл),л╠кF┐дл╠кFело№┬╫╡є91л╤21з╦1~30╕╣,110.82,,д@пы╣A╖~░╧,е╥║╪л╪┐vе╬жa,1060220,дgжa4л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0950210,238.34,4,2,3,ж│,╡L,4300000,18041,,0.0,0,,RPVOMLKMLHMFFAT07DA
иол░╢m,дgжa,┐│▓╬мq121~150жa╕╣,1006.28,,д@пы╣A╖~░╧,╣Aкке╬жa,1060308,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,620000,616,,0.0,0,,RPSNMLOLLHMFFET37DA
║бж{╢m,й╨жa(дgжa+л╪кл),л╠кF┐д║бж{╢mдддs╕Ї181~210╕╣,114.77,,дsйYжaлOи|░╧,╣C╛═е╬жa,1060302,дgжa1л╪кл1иожь0,д@╝hбAдG╝h,дG╝h,оMй╨(1й╨1╞U1╜├),игифеL╡n░Oи╞╢╡,дь│y,0830802,64.86,1,1,1,ж│,ж│,2000000,30836,,0.0,0,и№╢┼┼v╢┼░╚╝v┼Tй╬╢┼░╚йш└vдзецйЎбC,RPQNMLMLLHMFFET86CA
лэмK┬э,дgжa,дЇмuмq391~420жa╕╣,64.0,,░ъоaд╜╢щ░╧,,1060310,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,580000,9063,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPRNMLQLLHMFFET37CA
кD╝d╢m,дgжa,д║╝dз°мq31~60жa╕╣,821.29,,д@пы╣A╖~░╧,╣Aкке╬жa,1060313,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2490000,3032,,0.0,0,,RPPNMLMLLHMFFFT86CA
и╬еV╢m,дgжa,д╗о┌мq301~330жa╕╣,502.61,жэ,,,1060222,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3000000,5969,,0.0,0,,RPRNMLMLLHMFFFT07CA
кD╝d╢m,дgжa,д║╝dз°мq61~90жa╕╣,911.88,,д@пы╣A╖~░╧,╣Aкке╬жa,1060315,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3000000,3290,,0.0,0,,RPPNMLTLLHMFFFT57CA
и╜┤ф╢m,й╨жa(дgжa+л╪кл),л╠кF┐ди╜┤ф╢mйMен╕Ї91~120╕╣,83.0,жэ,,,1060306,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0820531,184.22,4,2,3,ж│,╡L,3850000,20899,,0.0,0,,RPQNMLMLLHMFFBT66DA
л╠кF╔],й╨жa(дgжa+л╪кл)+иожь,л╠кF┐дл╠кFел▓°╖q╡єдGмq1~30╕╣,17.54,жэ,,,1060208,дgжa1л╪кл1иожь1,дC╝h,дC╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0810213,118.00999999999999,3,2,2,ж│,ж│,2800000,23727,йY╣Dенн▒,0.0,0,,RPWOMLMKMHMFFAT17CA
дEжp╢m,й╨жa(дgжa+л╪кл),л╠кF┐ддEжp╢mдTжh╕Ї271~300╕╣,96.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060308,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0820112,169.15,6,1,3,ж│,╡L,3700000,21874,,0.0,0,,RPUNMLRLLHMFFAT37CA
л╠кF╔],дgжa,╖s╡ємqдTдpмq1~30жa╕╣,20.0,ифеL,,,1060315,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1488000,74400,,0.0,0,иє─│╗∙┴╩,RPQOMLRLLHMFFAT07CA
л╠кF╔],дgжa,╖s╡ємqдTдpмq1~30жa╕╣,1.99,ифеL,,,1060315,дgжa15л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,155284,78032,,0.0,0,иє─│╗∙┴╩,RPROMLRLLHMFFAT17CA
